record_utc,user_uuid,download
2021-11-27T22:24:14.000+01:00,32ccc85e-5dd4-46da-93a5-82ec70eafc6d,https://data.noise-planet.org/raw/32/cc/c8/32ccc85e-5dd4-46da-93a5-82ec70eafc6d/track_76928fc6-c20f-4510-9cdd-2db6dedd79d8.zip
2021-11-25T19:11:59.000+01:00,54fa8aee-2292-4561-82a7-5141d2c72a71,https://data.noise-planet.org/raw/54/fa/8a/54fa8aee-2292-4561-82a7-5141d2c72a71/track_415e1cab-dc22-4edd-adef-caa4e5bf43bd.zip
2021-11-28T17:06:17.000+01:00,4f3b51b7-1b7c-40a0-b45f-6b3a138c94b3,https://data.noise-planet.org/raw/4f/3b/51/4f3b51b7-1b7c-40a0-b45f-6b3a138c94b3/track_a04fc95d-8f56-4a83-b89d-e2e82f0a7f93.zip
2021-11-28T17:20:52.000+01:00,aed4a4cf-d380-4f31-9810-4b1aaaefbdd8,https://data.noise-planet.org/raw/ae/d4/a4/aed4a4cf-d380-4f31-9810-4b1aaaefbdd8/track_2a98839e-afdb-4ca4-b592-d6910a4d2df3.zip
2021-11-28T21:58:35.000+01:00,32ccc85e-5dd4-46da-93a5-82ec70eafc6d,https://data.noise-planet.org/raw/32/cc/c8/32ccc85e-5dd4-46da-93a5-82ec70eafc6d/track_f764b705-febf-419e-8afc-6156d91e2bbe.zip
2021-11-28T23:44:38.000+01:00,b586a0ba-a302-4b88-9141-0e153bbfda58,https://data.noise-planet.org/raw/b5/86/a0/b586a0ba-a302-4b88-9141-0e153bbfda58/track_78c48d17-80c7-4bea-948f-e9833d727df7.zip
2021-11-30T16:16:59.000+01:00,97e32227-1faa-48be-9390-902f037e0291,https://data.noise-planet.org/raw/97/e3/22/97e32227-1faa-48be-9390-902f037e0291/track_6c34754a-a21a-4663-9711-975722f9049a.zip
2021-11-29T17:32:53.000+01:00,9b9693ef-280f-49e3-b8bc-33d1f465e646,https://data.noise-planet.org/raw/9b/96/93/9b9693ef-280f-49e3-b8bc-33d1f465e646/track_310a4493-1f54-4eb1-b515-6d23900b3b77.zip
2021-11-29T12:05:12.000+01:00,7328bc65-3a53-450c-a81f-83356c69d988,https://data.noise-planet.org/raw/73/28/bc/7328bc65-3a53-450c-a81f-83356c69d988/track_f7b55263-f087-42f8-9871-3e26a210aeda.zip
2021-12-02T17:28:37.000+01:00,cc649e4f-bfd8-4b1e-bd81-733be9388736,https://data.noise-planet.org/raw/cc/64/9e/cc649e4f-bfd8-4b1e-bd81-733be9388736/track_3d4607d5-b53b-4670-9667-5dd77b5ad673.zip
